play_idx,rmse,position,seed
0,1.0733389854431152,FS,456
1,0.40626615285873413,SS,456
2,0.9766573905944824,CB,456
3,1.3106331825256348,CB,456
4,0.7750076651573181,SS,456
5,1.5313851833343506,SS,456
6,0.8139190673828125,CB,456
7,1.5852434635162354,CB,456
8,0.810520589351654,FS,456
9,0.6278854012489319,SS,456
10,0.711310863494873,SS,456
11,1.2040519714355469,CB,456
12,1.3950977325439453,CB,456
13,0.6230924725532532,FS,456
14,6.836587429046631,FS,456
15,2.58023738861084,SS,456
16,5.743688583374023,CB,456
17,2.9753851890563965,FS,456
18,7.825268745422363,CB,456
19,1.565045714378357,FS,456
20,2.2447736263275146,CB,456
21,1.2031817436218262,SS,456
22,2.268249750137329,CB,456
23,1.4696158170700073,CB,456
24,1.7318987846374512,FS,456
25,1.006717324256897,SS,456
26,1.8262337446212769,SS,456
27,0.6627317667007446,CB,456
28,2.2423648834228516,CB,456
29,0.5772116184234619,FS,456
30,1.997384786605835,SS,456
31,0.9695923924446106,CB,456
32,0.2836701571941376,CB,456
33,1.5548524856567383,FS,456
34,1.73759126663208,CB,456
35,1.2459166049957275,SS,456
36,1.3390330076217651,CB,456
37,0.2764509618282318,FS,456
38,1.3824859857559204,CB,456
39,1.6760517358779907,SS,456
40,2.208578109741211,SS,456
41,0.3587619960308075,CB,456
42,1.890406608581543,CB,456
43,1.3872685432434082,FS,456
44,2.3887884616851807,SS,456
45,1.2167885303497314,SS,456
46,1.4909292459487915,CB,456
47,0.9341915249824524,CB,456
48,0.6312760710716248,FS,456
49,2.9311294555664062,SS,456
50,3.1422910690307617,CB,456
51,1.8102797269821167,CB,456
52,1.496462345123291,FS,456
53,0.691037654876709,SS,456
54,0.6077178716659546,SS,456
55,0.6742494106292725,CB,456
56,1.3333462476730347,CB,456
57,1.4218416213989258,FS,456
58,2.609081983566284,SS,456
59,1.2316358089447021,SS,456
60,1.902143955230713,CB,456
61,3.107856512069702,CB,456
62,0.3908725678920746,FS,456
63,0.38247060775756836,FS,456
64,1.0207585096359253,SS,456
65,0.5452805161476135,CB,456
66,0.7592489123344421,CB,456
67,0.31604939699172974,FS,456
68,0.24209094047546387,SS,456
69,1.6138240098953247,CB,456
70,0.9844496250152588,CB,456
71,0.7234945297241211,FS,456
72,1.4318712949752808,SS,456
73,0.8090892434120178,CB,456
74,1.557168960571289,CB,456
75,0.5373895764350891,FS,456
76,0.9929015040397644,SS,456
77,0.7117157578468323,CB,456
78,0.5867277383804321,CB,456
79,0.3794595003128052,SS,456
80,0.46098586916923523,SS,456
81,0.6179190278053284,CB,456
82,0.9455142021179199,CB,456
83,0.7591440081596375,FS,456
84,2.145465612411499,FS,456
85,1.3600153923034668,SS,456
86,1.4113490581512451,CB,456
87,0.7491472363471985,CB,456
88,2.199256420135498,SS,456
89,3.9726004600524902,SS,456
90,6.150514602661133,CB,456
91,8.958664894104004,CB,456
92,3.559296131134033,FS,456
93,0.2820234000682831,SS,456
94,1.1736141443252563,SS,456
95,0.2513004243373871,CB,456
96,0.8936507105827332,CB,456
97,0.949212908744812,FS,456
98,1.062262773513794,SS,456
99,0.7170175313949585,SS,456
100,1.8157492876052856,CB,456
101,0.4490104615688324,CB,456
102,1.1656266450881958,FS,456
103,2.0123744010925293,SS,456
104,1.123082160949707,SS,456
105,1.4370073080062866,CB,456
106,6.354755401611328,CB,456
107,3.8060266971588135,FS,456
108,1.674737572669983,SS,456
109,1.37296462059021,SS,456
110,0.7661857008934021,CB,456
111,1.2620574235916138,CB,456
112,1.0482542514801025,FS,456
113,0.675972580909729,SS,456
114,0.9484631419181824,SS,456
115,0.21997946500778198,CB,456
116,0.8316628932952881,CB,456
117,0.1863068789243698,FS,456
118,0.6684543490409851,FS,456
119,1.3436030149459839,CB,456
120,0.2336120307445526,SS,456
121,0.547653079032898,CB,456
122,0.5591205954551697,FS,456
123,2.2442829608917236,FS,456
124,2.268266201019287,CB,456
125,0.1902104765176773,SS,456
126,1.1250122785568237,CB,456
127,1.4946037530899048,FS,456
128,1.6729873418807983,CB,456
129,1.730426549911499,FS,456
130,1.0439859628677368,SS,456
131,2.316965103149414,CB,456
132,2.1647980213165283,SS,456
133,0.2861860394477844,CB,456
134,1.235639214515686,FS,456
135,1.8294636011123657,CB,456
136,2.837918758392334,FS,456
137,3.942265033721924,CB,456
138,2.4069178104400635,SS,456
139,1.2662700414657593,CB,456
140,5.211285591125488,FS,456
141,4.2345356941223145,CB,456
142,1.7141367197036743,SS,456
143,0.5918158292770386,SS,456
144,1.5132415294647217,CB,456
145,0.8492448925971985,CB,456
146,1.6756393909454346,FS,456
147,0.8678826689720154,SS,456
148,1.7152589559555054,SS,456
149,0.12408050149679184,CB,456
150,1.499475359916687,CB,456
151,0.648300051689148,FS,456
152,1.082220435142517,FS,456
153,0.9487810134887695,SS,456
154,1.0872002840042114,SS,456
155,1.2300150394439697,CB,456
156,1.5118353366851807,CB,456
157,1.568778157234192,FS,456
158,1.769670009613037,CB,456
159,0.2656383812427521,SS,456
160,2.37302565574646,CB,456
161,0.8548777103424072,FS,456
162,1.2368290424346924,CB,456
163,0.9438126087188721,SS,456
164,3.2931885719299316,SS,456
165,2.8795840740203857,CB,456
166,0.1806722730398178,CB,456
167,3.547762155532837,FS,456
168,0.5714593529701233,SS,456
169,1.0437723398208618,SS,456
170,8.30344295501709,CB,456
171,4.912005424499512,CB,456
172,2.2152392864227295,FS,456
173,2.529439687728882,SS,456
174,1.5174510478973389,CB,456
175,1.3816406726837158,CB,456
176,1.7518218755722046,FS,456
177,4.20534610748291,SS,456
178,9.262001991271973,CB,456
179,5.196135520935059,CB,456
180,2.0788745880126953,FS,456
181,0.9354152083396912,SS,456
182,0.5569612979888916,SS,456
183,0.2792506515979767,CB,456
184,0.12720847129821777,CB,456
185,1.4619553089141846,FS,456
186,0.3581358790397644,FS,456
187,1.037005066871643,SS,456
188,1.9077956676483154,CB,456
189,2.56001353263855,FS,456
190,6.737473011016846,CB,456
191,2.103259801864624,SS,456
192,6.535587787628174,CB,456
193,3.177882432937622,SS,456
194,3.6460494995117188,CB,456
195,3.3009023666381836,CB,456
196,4.625311374664307,FS,456
197,9.035431861877441,SS,456
198,7.140548229217529,CB,456
199,7.117059707641602,CB,456
200,7.368415832519531,FS,456
201,0.036537595093250275,SS,456
202,0.6029950380325317,SS,456
203,0.6517377495765686,CB,456
204,0.6506840586662292,CB,456
205,0.4553089141845703,FS,456
206,0.8098328709602356,SS,456
207,0.6786240339279175,SS,456
208,1.538657307624817,CB,456
209,0.756565272808075,CB,456
210,0.3171650171279907,FS,456
211,1.157325029373169,FS,456
212,1.4615986347198486,CB,456
213,0.42689380049705505,SS,456
214,1.0430396795272827,CB,456
215,1.0130263566970825,FS,456
216,0.2867807149887085,CB,456
217,0.8223994374275208,SS,456
218,0.8847084641456604,CB,456
219,0.44386979937553406,FS,456
