rmse,position,seed
1.4119269847869873,FS,42
4.062859535217285,SS,42
2.101062059402466,CB,42
1.2268294095993042,CB,42
1.1712546348571777,SS,42
1.0445702075958252,SS,42
0.833686351776123,CB,42
0.30769217014312744,CB,42
2.070061206817627,FS,42
1.01316237449646,SS,42
0.5823948383331299,SS,42
0.7705886363983154,CB,42
0.8257476091384888,CB,42
0.3787705898284912,FS,42
6.336918830871582,FS,42
0.21412652730941772,SS,42
4.381071090698242,CB,42
2.2615268230438232,FS,42
7.224517345428467,CB,42
0.778058648109436,FS,42
0.6124247312545776,CB,42
0.25009772181510925,SS,42
0.2150532454252243,CB,42
0.8498215079307556,CB,42
0.5270938277244568,FS,42
0.627569854259491,SS,42
1.030409336090088,SS,42
0.8873187303543091,CB,42
0.6674270629882812,CB,42
0.7332737445831299,FS,42
0.1936589628458023,SS,42
0.5630927681922913,CB,42
0.9288814663887024,CB,42
0.3186400532722473,FS,42
0.23209431767463684,CB,42
0.3883897364139557,SS,42
1.4561821222305298,CB,42
0.46441686153411865,FS,42
1.1507368087768555,CB,42
0.1928587704896927,SS,42
0.6835768818855286,SS,42
0.5184342265129089,CB,42
0.6415743827819824,CB,42
0.6362981200218201,FS,42
0.2322351187467575,SS,42
0.8011583685874939,SS,42
2.308483123779297,CB,42
0.9043562412261963,CB,42
1.3040207624435425,FS,42
3.5697696208953857,SS,42
2.9335694313049316,CB,42
1.797296166419983,CB,42
2.81897234916687,FS,42
0.6670927405357361,SS,42
1.7269047498703003,SS,42
0.5422323346138,CB,42
1.431222677230835,CB,42
1.607019305229187,FS,42
2.3868186473846436,SS,42
1.8147485256195068,SS,42
2.5094587802886963,CB,42
2.7704436779022217,CB,42
0.1617906242609024,FS,42
0.7173982262611389,FS,42
0.4065507650375366,SS,42
0.3373476266860962,CB,42
1.5208625793457031,CB,42
1.1247719526290894,FS,42
0.3875172436237335,SS,42
0.22530393302440643,CB,42
0.20470498502254486,CB,42
0.4567199647426605,FS,42
1.311691403388977,SS,42
0.6927130222320557,CB,42
1.555732250213623,CB,42
0.18192186951637268,FS,42
0.6797596216201782,SS,42
1.314929485321045,CB,42
0.4235760271549225,CB,42
1.082316517829895,SS,42
0.5646212697029114,SS,42
0.9402608871459961,CB,42
2.633439302444458,CB,42
1.5011134147644043,FS,42
0.6243012547492981,FS,42
2.264418840408325,SS,42
1.0045682191848755,CB,42
0.5663513541221619,CB,42
1.4918630123138428,SS,42
3.9202587604522705,SS,42
5.677390098571777,CB,42
7.63150691986084,CB,42
3.995788335800171,FS,42
0.7386353015899658,SS,42
1.4825644493103027,SS,42
1.673096776008606,CB,42
1.3029215335845947,CB,42
1.1445696353912354,FS,42
0.40226849913597107,SS,42
0.6653428077697754,SS,42
0.16319605708122253,CB,42
0.7521374225616455,CB,42
0.6489422917366028,FS,42
1.3823254108428955,SS,42
0.27666279673576355,SS,42
1.665276050567627,CB,42
1.8100351095199585,CB,42
0.9717941284179688,FS,42
1.4276878833770752,SS,42
2.00030255317688,SS,42
1.6797672510147095,CB,42
1.478294849395752,CB,42
1.8666110038757324,FS,42
0.8236993551254272,SS,42
0.6918352842330933,SS,42
0.777754008769989,CB,42
0.9362335205078125,CB,42
0.21367210149765015,FS,42
1.6280611753463745,FS,42
0.5863009095191956,CB,42
0.23321658372879028,SS,42
1.1269398927688599,CB,42
0.8474112749099731,FS,42
1.1876810789108276,FS,42
1.0236798524856567,CB,42
2.112410068511963,SS,42
1.4572736024856567,CB,42
0.601268470287323,FS,42
0.389710396528244,CB,42
1.2298815250396729,FS,42
1.5246388912200928,SS,42
2.055316209793091,CB,42
1.8336613178253174,SS,42
1.5885558128356934,CB,42
1.033463478088379,FS,42
0.7591400146484375,CB,42
3.7901663780212402,FS,42
3.26578426361084,CB,42
1.4507641792297363,SS,42
1.8343695402145386,CB,42
4.340478420257568,FS,42
5.4618425369262695,CB,42
2.8148014545440674,SS,42
0.45896822214126587,SS,42
0.6951937079429626,CB,42
0.8236240744590759,CB,42
2.1049437522888184,FS,42
1.593770146369934,SS,42
0.9875195026397705,SS,42
1.2662614583969116,CB,42
3.561002492904663,CB,42
1.0418102741241455,FS,42
1.0308669805526733,FS,42
1.3757339715957642,SS,42
1.5753285884857178,SS,42
1.1503673791885376,CB,42
