Model,Mean RMSE,Std RMSE,Delta (A-B),p (Wilcoxon),p (t-test)
Model A (no ball dest),2.0376861095428467,0.02306094579398632,0.49482667446136475,3.267857096034277e-10,6.845654056043812e-11
Model B (with ball dest),1.542859435081482,0.01814413256943226,-0.49482667446136475,3.267857096034277e-10,6.845654056043812e-11
