rmse,position,seed
0.353740394115448,FS,42
1.6307494640350342,SS,42
0.9938441514968872,CB,42
2.300565481185913,CB,42
0.618381917476654,SS,42
1.323416829109192,SS,42
0.39803546667099,CB,42
1.2933063507080078,CB,42
1.2758991718292236,FS,42
0.49542930722236633,SS,42
0.3335058093070984,SS,42
0.8419821262359619,CB,42
1.253622055053711,CB,42
0.45277756452560425,FS,42
7.949131488800049,FS,42
0.1619282066822052,SS,42
3.9401564598083496,CB,42
3.152613878250122,FS,42
6.4412455558776855,CB,42
0.7096423506736755,FS,42
0.3342786133289337,CB,42
1.7922043800354004,SS,42
2.366420269012451,CB,42
1.05754554271698,CB,42
3.9352939128875732,FS,42
0.9326536655426025,SS,42
0.44045013189315796,SS,42
0.5309998393058777,CB,42
1.790420651435852,CB,42
0.26724308729171753,FS,42
1.6370365619659424,SS,42
0.09700432419776917,CB,42
0.4440315365791321,CB,42
1.4759111404418945,FS,42
1.3859837055206299,CB,42
0.9955958724021912,SS,42
1.8545243740081787,CB,42
0.2331409454345703,FS,42
1.148023247718811,CB,42
1.7512718439102173,SS,42
0.9320709705352783,SS,42
0.5716524720191956,CB,42
0.7049815654754639,CB,42
0.33700448274612427,FS,42
0.24339047074317932,SS,42
1.062098503112793,SS,42
1.874774694442749,CB,42
1.08297860622406,CB,42
1.7307357788085938,FS,42
2.83617901802063,SS,42
2.8385696411132812,CB,42
0.9850393533706665,CB,42
2.0312206745147705,FS,42
1.3547035455703735,SS,42
0.8515257239341736,SS,42
0.6315474510192871,CB,42
0.39450642466545105,CB,42
1.2254202365875244,FS,42
2.708261251449585,SS,42
0.6445919871330261,SS,42
2.2262625694274902,CB,42
2.021008253097534,CB,42
0.35475844144821167,FS,42
1.7703683376312256,FS,42
0.7131825089454651,SS,42
0.3755674958229065,CB,42
0.6050584316253662,CB,42
2.001706838607788,FS,42
0.8938084840774536,SS,42
0.9208616018295288,CB,42
1.2747807502746582,CB,42
0.049019861966371536,FS,42
1.7375633716583252,SS,42
0.659429132938385,CB,42
1.0859698057174683,CB,42
1.3423583507537842,FS,42
0.7970139980316162,SS,42
0.49881213903427124,CB,42
1.0302327871322632,CB,42
1.0998269319534302,SS,42
0.5402891635894775,SS,42
0.6983739137649536,CB,42
2.3970565795898438,CB,42
1.3060086965560913,FS,42
1.0866512060165405,FS,42
0.41051411628723145,SS,42
0.6998732089996338,CB,42
4.752137660980225,CB,42
2.045314311981201,SS,42
3.6745402812957764,SS,42
5.79832124710083,CB,42
8.370361328125,CB,42
3.725285530090332,FS,42
0.5257991552352905,SS,42
1.8493188619613647,SS,42
1.2343231439590454,CB,42
1.0024865865707397,CB,42
1.4849027395248413,FS,42
0.5007317662239075,SS,42
1.0281472206115723,SS,42
1.1532036066055298,CB,42
0.5327660441398621,CB,42
0.23003210127353668,FS,42
0.39161768555641174,SS,42
1.1044973134994507,SS,42
