play_idx,rmse,position,seed
0,1.5207362174987793,FS,123
1,0.6664397120475769,SS,123
2,2.219822883605957,CB,123
3,0.18484921753406525,CB,123
4,2.014007329940796,SS,123
5,1.3499411344528198,SS,123
6,1.9198155403137207,CB,123
7,2.894482374191284,CB,123
8,1.2167683839797974,FS,123
9,0.9538038969039917,SS,123
10,0.6902137398719788,SS,123
11,0.5880523324012756,CB,123
12,1.4598013162612915,CB,123
13,0.3489057719707489,FS,123
14,5.547617435455322,FS,123
15,0.3279346525669098,SS,123
16,3.8193414211273193,CB,123
17,4.784605026245117,FS,123
18,4.606510639190674,CB,123
19,0.4043961465358734,FS,123
20,0.9572508931159973,CB,123
21,0.6483268141746521,SS,123
22,1.133259654045105,CB,123
23,1.295106053352356,CB,123
24,1.235726237297058,FS,123
25,0.5614946484565735,SS,123
26,0.6357428431510925,SS,123
27,0.6409825682640076,CB,123
28,1.628010869026184,CB,123
29,0.7285630106925964,FS,123
30,0.5214969515800476,SS,123
31,0.2387055605649948,CB,123
32,0.7254074811935425,CB,123
33,0.8126067519187927,FS,123
34,0.38426387310028076,CB,123
35,0.4884859323501587,SS,123
36,1.3062940835952759,CB,123
37,1.0281246900558472,FS,123
38,0.5060497522354126,CB,123
39,0.4919944107532501,SS,123
40,0.9192556738853455,SS,123
41,0.8851649761199951,CB,123
42,0.20840564370155334,CB,123
43,0.3176155686378479,FS,123
44,1.97505784034729,SS,123
45,1.4540789127349854,SS,123
46,1.5302897691726685,CB,123
47,1.6593226194381714,CB,123
48,1.1766960620880127,FS,123
49,1.8172736167907715,SS,123
50,2.84979510307312,CB,123
51,2.3927009105682373,CB,123
52,3.3778841495513916,FS,123
53,0.890245795249939,SS,123
54,0.43846404552459717,SS,123
55,0.890407383441925,CB,123
56,0.7803053855895996,CB,123
57,1.192029356956482,FS,123
58,1.5808967351913452,SS,123
59,0.8421894311904907,SS,123
60,2.561640501022339,CB,123
61,2.036770820617676,CB,123
62,0.9908090829849243,FS,123
63,1.3368682861328125,FS,123
64,0.8871504068374634,SS,123
65,1.5994305610656738,CB,123
66,0.8482969403266907,CB,123
67,1.2482835054397583,FS,123
68,1.3564040660858154,SS,123
69,1.024409532546997,CB,123
70,0.9661257266998291,CB,123
71,0.8920037746429443,FS,123
72,0.5713838934898376,SS,123
73,0.2706797420978546,CB,123
74,1.3795971870422363,CB,123
75,0.38753390312194824,FS,123
76,0.7119051218032837,SS,123
77,1.0992774963378906,CB,123
78,0.6532246470451355,CB,123
79,1.2218296527862549,SS,123
80,0.2886366546154022,SS,123
81,0.9347149729728699,CB,123
82,2.143263816833496,CB,123
83,1.3054224252700806,FS,123
84,1.8287001848220825,FS,123
85,0.5931128263473511,SS,123
86,2.2628917694091797,CB,123
87,3.121124744415283,CB,123
88,2.429476737976074,SS,123
89,4.707971572875977,SS,123
90,4.612222194671631,CB,123
91,8.263486862182617,CB,123
92,4.401946067810059,FS,123
93,0.14423106610774994,SS,123
94,0.4940255582332611,SS,123
95,1.1033779382705688,CB,123
96,1.571934461593628,CB,123
97,3.0649590492248535,FS,123
98,0.6005127429962158,SS,123
99,0.7096375823020935,SS,123
100,0.1257261335849762,CB,123
101,0.8155863881111145,CB,123
102,0.6407232284545898,FS,123
103,1.6427116394042969,SS,123
104,0.7294726371765137,SS,123
105,1.5199875831604004,CB,123
106,1.0199073553085327,CB,123
107,0.07915543764829636,FS,123
108,1.4885523319244385,SS,123
109,1.0110059976577759,SS,123
110,2.491473436355591,CB,123
111,1.1516900062561035,CB,123
112,0.5314565300941467,FS,123
113,0.7446511387825012,SS,123
114,0.6227874159812927,SS,123
115,0.8458939790725708,CB,123
116,1.4120454788208008,CB,123
117,0.13530072569847107,FS,123
118,0.6987743973731995,FS,123
119,0.3827410340309143,CB,123
120,0.541251540184021,SS,123
121,0.7745335698127747,CB,123
122,1.0059536695480347,FS,123
123,0.8051388263702393,FS,123
124,1.6727933883666992,CB,123
125,0.44415268301963806,SS,123
126,0.8951983451843262,CB,123
127,0.6260982155799866,FS,123
128,0.4505893886089325,CB,123
129,2.536585569381714,FS,123
130,2.1721346378326416,SS,123
131,2.7799079418182373,CB,123
132,0.45281362533569336,SS,123
133,1.9462772607803345,CB,123
134,0.9888649582862854,FS,123
135,1.1676784753799438,CB,123
136,2.1148884296417236,FS,123
137,2.1019418239593506,CB,123
