play_idx,rmse,position,seed
196,5.014708042144775,FS,42
197,9.630717277526855,SS,42
198,6.837619304656982,CB,42
199,8.838862419128418,CB,42
200,7.072543144226074,FS,42
201,0.38730236887931824,SS,42
202,0.6507506370544434,SS,42
203,0.2144918292760849,CB,42
204,0.7753635048866272,CB,42
205,0.42340633273124695,FS,42
206,0.5168312788009644,SS,42
207,0.3304092288017273,SS,42
208,1.3727545738220215,CB,42
209,0.40572381019592285,CB,42
210,0.7437974810600281,FS,42
211,0.2668918967247009,FS,42
212,1.5349889993667603,CB,42
213,0.53864586353302,SS,42
214,1.122383952140808,CB,42
215,0.6485756635665894,FS,42
216,1.409657597541809,CB,42
217,1.839017629623413,SS,42
218,0.8627445101737976,CB,42
219,1.2228926420211792,FS,42
220,1.0395190715789795,CB,42
221,1.4729992151260376,FS,42
222,0.5498016476631165,SS,42
223,1.9364190101623535,CB,42
224,2.033722162246704,CB,42
225,3.1037776470184326,SS,42
226,1.2070821523666382,SS,42
227,3.8466262817382812,CB,42
228,0.13895092904567719,CB,42
229,1.1638206243515015,FS,42
230,1.308775544166565,SS,42
231,0.7822481989860535,CB,42
232,0.19276781380176544,CB,42
233,0.7341514825820923,FS,42
234,0.2941751182079315,SS,42
235,7.756153583526611,SS,42
236,11.901162147521973,CB,42
237,6.849967002868652,CB,42
238,3.5712265968322754,FS,42
239,4.4018402099609375,SS,42
240,1.2907688617706299,FS,42
241,1.040864109992981,CB,42
242,0.43734773993492126,SS,42
243,1.2430121898651123,CB,42
244,1.3468406200408936,FS,42
245,2.202031373977661,SS,42
246,0.8029336929321289,CB,42
247,2.233734369277954,CB,42
248,2.61853289604187,FS,42
249,0.9102656245231628,SS,42
250,1.9102994203567505,CB,42
251,2.11421537399292,CB,42
252,1.6211433410644531,SS,42
253,1.3221464157104492,CB,42
254,1.6667497158050537,CB,42
255,1.1384403705596924,FS,42
256,1.8771367073059082,SS,42
257,3.5589513778686523,SS,42
258,3.1492130756378174,CB,42
259,5.057774066925049,CB,42
260,2.424590587615967,FS,42
261,0.27904725074768066,SS,42
262,0.46426934003829956,SS,42
263,0.3416185677051544,CB,42
264,1.2210627794265747,CB,42
265,1.0947365760803223,FS,42
266,3.366241216659546,SS,42
267,1.382028579711914,SS,42
268,1.508793592453003,CB,42
269,1.4035613536834717,CB,42
270,2.4529597759246826,FS,42
271,8.302023887634277,SS,42
272,8.657020568847656,SS,42
273,7.906136989593506,CB,42
274,7.064432144165039,CB,42
275,6.5310797691345215,FS,42
276,0.26141709089279175,CB,42
277,1.8133063316345215,CB,42
278,0.2600710690021515,SS,42
279,1.7596039772033691,SS,42
280,2.4084134101867676,CB,42
281,0.5032795071601868,CB,42
282,1.5715383291244507,CB,42
283,1.6533235311508179,SS,42
284,1.7119942903518677,SS,42
285,1.3244476318359375,CB,42
286,3.1242101192474365,CB,42
287,6.5849432945251465,CB,42
288,4.2735915184021,SS,42
289,6.32262659072876,SS,42
290,1.394006371498108,CB,42
291,11.336674690246582,CB,42
292,7.901815414428711,CB,42
293,7.630220890045166,SS,42
294,6.299244403839111,SS,42
295,1.5289764404296875,CB,42
296,0.23619669675827026,CB,42
297,1.7101397514343262,CB,42
298,0.6749582290649414,SS,42
299,0.7167981266975403,SS,42
300,1.4534603357315063,FS,42
301,1.006248950958252,CB,42
302,0.6963088512420654,CB,42
303,0.23352421820163727,CB,42
304,0.9810146689414978,SS,42
305,0.12536673247814178,FS,42
306,2.150128126144409,CB,42
307,1.313223958015442,CB,42
308,0.5639694333076477,SS,42
309,0.33673563599586487,SS,42
310,1.8118585348129272,CB,42
311,0.4229678809642792,CB,42
312,1.08938467502594,CB,42
313,0.9294533729553223,SS,42
314,0.5309524536132812,SS,42
315,1.3483580350875854,CB,42
316,0.5278705358505249,CB,42
317,0.6028154492378235,CB,42
318,0.26390528678894043,SS,42
319,0.4467945396900177,SS,42
320,1.5027512311935425,CB,42
321,0.8636513948440552,CB,42
322,0.7617791295051575,CB,42
323,0.8948401808738708,SS,42
324,0.32914048433303833,SS,42
325,1.0276639461517334,CB,42
326,0.3729129731655121,CB,42
327,1.4350913763046265,CB,42
328,2.0826597213745117,SS,42
329,1.3144556283950806,SS,42
330,1.6578584909439087,CB,42
331,1.0310537815093994,CB,42
332,0.26675713062286377,CB,42
333,0.6957452893257141,SS,42
334,0.8879461288452148,SS,42
335,0.568006694316864,CB,42
336,0.3588865101337433,CB,42
337,1.2816739082336426,CB,42
338,1.3248827457427979,CB,42
339,0.8446070551872253,SS,42
340,0.5952823162078857,FS,42
341,1.1150691509246826,CB,42
342,0.7863901257514954,CB,42
343,0.5296356081962585,SS,42
344,0.4706636071205139,SS,42
345,1.849379062652588,CB,42
346,1.5369443893432617,CB,42
347,0.45916682481765747,CB,42
348,0.6113895177841187,SS,42
349,0.26985013484954834,SS,42
350,0.9867568612098694,CB,42
351,1.4272336959838867,CB,42
352,1.5118955373764038,CB,42
353,2.741706132888794,SS,42
354,1.8744001388549805,SS,42
355,1.7531030178070068,CB,42
356,0.7556093335151672,CB,42
357,0.5526829957962036,CB,42
358,0.2544576823711395,CB,42
359,1.226840615272522,SS,42
360,0.5180656313896179,FS,42
361,0.12686704099178314,CB,42
362,0.9183173775672913,CB,42
363,0.5778810977935791,SS,42
364,1.414513349533081,SS,42
365,3.3934435844421387,CB,42
366,1.9766851663589478,CB,42
367,4.803635597229004,CB,42
368,1.154425024986267,SS,42
369,1.6705296039581299,SS,42
370,2.473383903503418,CB,42
371,0.7471861243247986,CB,42
372,0.9788186550140381,CB,42
373,0.7570940256118774,SS,42
374,0.6049727201461792,SS,42
375,0.6410112380981445,CB,42
376,0.4583193361759186,CB,42
377,1.3096163272857666,CB,42
378,1.4909002780914307,SS,42
379,0.9814124703407288,SS,42
380,2.4982833862304688,FS,42
381,1.0588696002960205,CB,42
382,2.1903419494628906,CB,42
383,2.3355207443237305,SS,42
384,3.0382602214813232,SS,42
385,4.011488914489746,CB,42
386,2.4855358600616455,CB,42
387,1.007584810256958,CB,42
388,0.7861545085906982,SS,42
389,1.1143016815185547,SS,42
390,1.237416386604309,CB,42
391,0.1453845053911209,CB,42
392,0.8676497340202332,CB,42
393,0.8648352026939392,SS,42
394,1.0702667236328125,SS,42
395,0.521141767501831,CB,42
396,0.46717768907546997,CB,42
397,1.552782654762268,CB,42
398,1.0608880519866943,SS,42
399,1.638127326965332,SS,42
400,1.8361934423446655,FS,42
401,4.225677967071533,CB,42
402,2.2941575050354004,CB,42
403,1.5498980283737183,SS,42
404,7.395900726318359,SS,42
405,2.0342226028442383,FS,42
406,2.5850582122802734,CB,42
407,2.289217710494995,CB,42
408,0.8188412189483643,SS,42
409,1.3404936790466309,SS,42
410,0.6774069666862488,CB,42
411,3.3865902423858643,CB,42
412,5.3816423416137695,CB,42
413,1.895951271057129,SS,42
414,0.45961758494377136,SS,42
415,2.360725164413452,CB,42
416,8.188054084777832,CB,42
417,2.250272750854492,CB,42
418,6.227392196655273,SS,42
419,5.824861526489258,SS,42
420,4.568517208099365,FS,42
421,1.0946550369262695,CB,42
422,1.17162024974823,CB,42
423,2.832106590270996,SS,42
424,1.211927890777588,SS,42
425,1.0819646120071411,CB,42
426,0.8724449276924133,CB,42
427,1.7706063985824585,CB,42
428,0.8382344245910645,SS,42
429,1.243321418762207,SS,42
430,1.7363430261611938,CB,42
431,1.0957006216049194,CB,42
432,0.630646288394928,CB,42
433,0.7491930723190308,CB,42
434,0.3705991208553314,SS,42
435,0.7600182294845581,FS,42
436,1.2760781049728394,CB,42
437,1.224514126777649,CB,42
438,1.8584469556808472,CB,42
439,0.6065934896469116,SS,42
440,0.5246166586875916,FS,42
441,0.404754102230072,CB,42
442,2.272573471069336,CB,42
443,1.0534100532531738,FS,42
444,1.1312328577041626,SS,42
445,1.8613672256469727,CB,42
446,0.662107527256012,CB,42
447,2.813340187072754,CB,42
448,1.4600577354431152,FS,42
449,0.8395895957946777,SS,42
450,2.695131778717041,CB,42
451,0.4848959743976593,CB,42
452,0.8832362294197083,CB,42
453,0.6477361917495728,SS,42
454,0.3873822093009949,SS,42
455,0.6143172383308411,CB,42
456,2.7464957237243652,CB,42
457,1.366112470626831,CB,42
458,2.0014922618865967,SS,42
459,0.6665390133857727,SS,42
460,0.28131163120269775,CB,42
461,1.9086793661117554,CB,42
462,0.9890549182891846,SS,42
463,2.025933265686035,FS,42
464,3.3094077110290527,CB,42
465,2.190948247909546,FS,42
466,0.3945206105709076,FS,42
467,0.3523375988006592,CB,42
468,0.949445366859436,FS,42
469,0.761903703212738,FS,42
470,1.875610589981079,CB,42
471,0.9154178500175476,CB,42
472,0.4257434904575348,SS,42
473,1.5061628818511963,FS,42
474,0.3431241810321808,CB,42
475,1.093471646308899,CB,42
476,1.037441372871399,SS,42
477,2.4430551528930664,FS,42
478,0.9964146614074707,CB,42
479,1.7364404201507568,CB,42
480,1.7141427993774414,CB,42
481,2.5923633575439453,FS,42
482,1.845749855041504,SS,42
483,0.39867454767227173,FS,42
484,0.7387471199035645,CB,42
485,0.4012380838394165,CB,42
486,0.4279026687145233,SS,42
487,1.6150743961334229,FS,42
488,1.0607281923294067,CB,42
489,0.7656452655792236,FS,42
490,0.8495532274246216,CB,42
491,0.4708043038845062,FS,42
492,1.0359818935394287,SS,42
493,1.1386054754257202,FS,42
494,0.5809929370880127,CB,42
495,1.0383291244506836,FS,42
496,2.549769639968872,CB,42
497,2.474968433380127,SS,42
498,0.21610714495182037,FS,42
499,2.266214609146118,CB,42
500,1.9537924528121948,CB,42
501,1.235159993171692,SS,42
502,0.6986640691757202,FS,42
503,1.117794394493103,CB,42
504,0.9344189763069153,FS,42
505,1.4825519323349,CB,42
506,0.33231788873672485,SS,42
507,0.5960785746574402,FS,42
508,0.9892556071281433,CB,42
509,6.821337699890137,FS,42
510,4.281628608703613,CB,42
511,6.865661144256592,SS,42
512,5.220589637756348,FS,42
513,9.405207633972168,CB,42
514,2.4652979373931885,CB,42
515,2.0647616386413574,SS,42
516,1.4007525444030762,FS,42
517,1.6143062114715576,CB,42
518,0.7638756632804871,FS,42
519,0.12379157543182373,CB,42
520,0.6561670899391174,SS,42
521,0.5440938472747803,FS,42
522,1.2136582136154175,CB,42
523,0.8804266452789307,FS,42
524,0.711607038974762,CB,42
525,0.7261202931404114,SS,42
526,0.08353778719902039,FS,42
527,0.4408298134803772,CB,42
528,2.396649122238159,CB,42
529,1.6712673902511597,SS,42
530,2.7550132274627686,FS,42
531,1.6701455116271973,CB,42
532,0.9544779658317566,CB,42
533,0.9552160501480103,SS,42
534,1.002190351486206,CB,42
535,0.7263712286949158,FS,42
536,0.6752213835716248,FS,42
537,0.4666813015937805,CB,42
538,0.3592243194580078,FS,42
539,0.5945096015930176,SS,42
540,3.0844812393188477,CB,42
541,1.7134042978286743,FS,42
542,0.7210282683372498,CB,42
543,0.8232474327087402,FS,42
544,1.0149726867675781,CB,42
545,0.6190226674079895,FS,42
546,1.460245966911316,CB,42
547,0.5734024047851562,FS,42
548,0.3300190269947052,SS,42
549,0.39154326915740967,CB,42
550,2.3197784423828125,FS,42
551,2.129335403442383,CB,42
552,1.0700647830963135,FS,42
553,2.5256989002227783,FS,42
554,2.1521687507629395,SS,42
555,1.7446849346160889,CB,42
556,2.6273081302642822,CB,42
557,2.9182004928588867,SS,42
558,2.2144739627838135,FS,42
559,1.8163213729858398,CB,42
560,3.344792127609253,FS,42
561,3.699847936630249,CB,42
562,0.6165040135383606,SS,42
563,2.3272817134857178,FS,42
564,1.0877249240875244,CB,42
565,0.5113025307655334,CB,42
566,1.008736252784729,CB,42
567,3.8470685482025146,SS,42
568,1.2399044036865234,FS,42
569,0.8023819327354431,CB,42
570,1.9277640581130981,CB,42
571,4.008241653442383,SS,42
572,1.2520283460617065,FS,42
573,2.325162410736084,CB,42
574,1.7467472553253174,FS,42
575,2.0681755542755127,FS,42
576,2.148104667663574,CB,42
577,2.002401351928711,FS,42
578,0.9291102290153503,SS,42
579,1.1046011447906494,CB,42
580,1.4178909063339233,FS,42
581,2.6237096786499023,CB,42
582,0.6115854978561401,FS,42
583,1.1488720178604126,SS,42
584,1.070230484008789,CB,42
585,1.4469263553619385,FS,42
586,0.21061785519123077,CB,42
587,1.4239803552627563,FS,42
588,0.3883933424949646,CB,42
589,8.70754337310791,CB,42
590,5.021798610687256,FS,42
591,4.215356826782227,SS,42
592,4.57318115234375,CB,42
593,3.7944741249084473,CB,42
594,6.887156009674072,SS,42
595,5.40684175491333,FS,42
596,7.97743034362793,CB,42
597,4.2733941078186035,FS,42
598,0.47587597370147705,CB,42
599,1.8694456815719604,SS,42
600,2.199388027191162,FS,42
601,0.8396404385566711,CB,42
602,0.47473692893981934,FS,42
603,1.4512720108032227,CB,42
604,0.8859172463417053,FS,42
605,0.9865730404853821,SS,42
606,0.5827987790107727,CB,42
607,1.6571345329284668,FS,42
608,1.7639410495758057,CB,42
609,2.4898500442504883,FS,42
610,0.7948995232582092,SS,42
611,0.6016800403594971,CB,42
612,1.2802810668945312,FS,42
613,1.1223063468933105,CB,42
614,0.6752305626869202,FS,42
615,1.4674900770187378,SS,42
616,2.022954225540161,CB,42
