play_idx,rmse,position,seed
0,1.4119269847869873,FS,42
1,4.062859535217285,SS,42
2,2.101062059402466,CB,42
3,1.2268294095993042,CB,42
4,1.1712546348571777,SS,42
5,1.0445702075958252,SS,42
6,0.833686351776123,CB,42
7,0.30769217014312744,CB,42
8,2.070061206817627,FS,42
9,1.01316237449646,SS,42
10,0.5823948383331299,SS,42
11,0.7705886363983154,CB,42
12,0.8257476091384888,CB,42
13,0.3787705898284912,FS,42
14,6.336918830871582,FS,42
15,0.21412652730941772,SS,42
16,4.381071090698242,CB,42
17,2.2615268230438232,FS,42
18,7.224517345428467,CB,42
19,0.778058648109436,FS,42
20,0.6124247312545776,CB,42
21,0.25009772181510925,SS,42
22,0.2150532454252243,CB,42
23,0.8498215079307556,CB,42
24,0.5270938277244568,FS,42
25,0.627569854259491,SS,42
26,1.030409336090088,SS,42
27,0.8873187303543091,CB,42
28,0.6674270629882812,CB,42
29,0.7332737445831299,FS,42
30,0.1936589628458023,SS,42
31,0.5630927681922913,CB,42
32,0.9288814663887024,CB,42
33,0.3186400532722473,FS,42
34,0.23209431767463684,CB,42
35,0.3883897364139557,SS,42
36,1.4561821222305298,CB,42
37,0.46441686153411865,FS,42
38,1.1507368087768555,CB,42
39,0.1928587704896927,SS,42
40,0.6835768818855286,SS,42
41,0.5184342265129089,CB,42
42,0.6415743827819824,CB,42
43,0.6362981200218201,FS,42
44,0.2322351187467575,SS,42
45,0.8011583685874939,SS,42
46,2.308483123779297,CB,42
47,0.9043562412261963,CB,42
48,1.3040207624435425,FS,42
49,3.5697696208953857,SS,42
50,2.9335694313049316,CB,42
51,1.797296166419983,CB,42
52,2.81897234916687,FS,42
53,0.6670927405357361,SS,42
54,1.7269047498703003,SS,42
55,0.5422323346138,CB,42
56,1.431222677230835,CB,42
57,1.607019305229187,FS,42
58,2.3868186473846436,SS,42
59,1.8147485256195068,SS,42
60,2.5094587802886963,CB,42
61,2.7704436779022217,CB,42
62,0.1617906242609024,FS,42
63,0.7173982262611389,FS,42
64,0.4065507650375366,SS,42
65,0.3373476266860962,CB,42
66,1.5208625793457031,CB,42
67,1.1247719526290894,FS,42
68,0.3875172436237335,SS,42
69,0.22530393302440643,CB,42
70,0.20470498502254486,CB,42
71,0.4567199647426605,FS,42
72,1.311691403388977,SS,42
73,0.6927130222320557,CB,42
74,1.555732250213623,CB,42
75,0.18192186951637268,FS,42
76,0.6797596216201782,SS,42
77,1.314929485321045,CB,42
78,0.4235760271549225,CB,42
79,1.082316517829895,SS,42
